module,tag,method,path,scoping,auth_required,path_params,required_query,query_params,has_body,documented_responses,rspec_coverage,rspec_file,summary
Salon Setup,Products — Lookups,GET,/salons/{salon_id}/product_brands,path,yes,salon_id,,,no,200|401,covered,spec/requests/product_lookups_spec.rb,Brand dropdown options
Salon Setup,Products — Lookups,GET,/salons/{salon_id}/product_categories,path,yes,salon_id,,,no,200|401,covered,spec/requests/product_lookups_spec.rb,Category dropdown options
Salon Setup,Products,GET,/salons/{salon_id}/products,path,yes,salon_id,,category|brand|status|low_stock|q|sort|page|per_page,no,200|401|404,covered,spec/requests/products_export_spec.rb,List products
Salon Setup,Products,POST,/salons/{salon_id}/products,path,yes,salon_id,,,no,201|400|401|422,covered,spec/requests/products_bulk_upload_spec.rb,Add a product
Salon Setup,Products,POST,/salons/{salon_id}/products/bulk_delete,path,yes,salon_id,,,no,200|400|401,covered,spec/requests/products_update_delete_spec.rb,Remove several products
Salon Setup,Products,POST,/salons/{salon_id}/products/bulk_upload,path,yes,salon_id,,,no,201|400|401,covered,spec/requests/products_bulk_upload_spec.rb,Commit a bulk product upload
Salon Setup,Products,POST,/salons/{salon_id}/products/bulk_upload/validate,path,yes,salon_id,,,no,200|400|401,covered,spec/requests/products_bulk_upload_spec.rb,Preview a bulk product upload
Salon Setup,Products,GET,/salons/{salon_id}/products/export,path,yes,salon_id,,category|low_stock|q|status|brand|sort,no,200|401|404,covered,spec/requests/products_export_spec.rb,Export the filtered inventory as CSV
Salon Setup,Products,GET,/salons/{salon_id}/products/summary,path,yes,salon_id,,,no,200|401|404,covered,spec/requests/products_summary_and_validation_spec.rb,Inventory stat cards
Salon Setup,Products,DELETE,/salons/{salon_id}/products/{id},path,yes,salon_id|id,,,no,200|401|404,covered,spec/requests/products_update_delete_spec.rb,Remove a product
Salon Setup,Products,PUT,/salons/{salon_id}/products/{id},path,yes,salon_id|id,,,no,200|401|404|422,covered,spec/requests/products_update_delete_spec.rb,Update a product
Salon Setup,Products,PATCH,/salons/{salon_id}/products/{id}/status,path,yes,salon_id|id,,,no,200|401|404,covered,spec/requests/products_status_stock_spec.rb,Toggle a product active or inactive
Salon Setup,Products,POST,/salons/{salon_id}/products/{id}/stock_movements,path,yes,salon_id|id,,,no,200|400|401|404|422,covered,spec/requests/products_status_stock_spec.rb,Record a stock movement
Salon Setup,Customer List,GET,/salons/{salon_id}/salon_customer_profiles,path,yes,salon_id,,q|segment|membership_plan_id|sort|first_visit_from|first_visit_to|last_visit_from|last_visit_to|visits_min|visits_max|spend_min|spend_max|avg_bill_min|avg_bill_max|page|per_page,no,200|401|403,covered,spec/requests/salon_customer_profiles_index_spec.rb,List Customers
Salon Setup,Customer Profile,POST,/salons/{salon_id}/salon_customer_profiles,path,yes,salon_id,,,yes,200|401|403|422,covered,spec/requests/customer_memberships_create_spec.rb,Add Customer
Salon Setup,Customer List,GET,/salons/{salon_id}/salon_customer_profiles/summary,path,yes,salon_id,,range|from|to,no,200|401|403|422,covered,spec/requests/salon_customer_profiles_summary_spec.rb,Customer Stats Row
Salon Setup,Customer Profile,DELETE,/salons/{salon_id}/salon_customer_profiles/{id},path,yes,salon_id|id,,,no,204|401|403|404|422,covered,spec/requests/salon_customer_profiles_spec.rb,Delete Customer
Salon Setup,Customer Profile,GET,/salons/{salon_id}/salon_customer_profiles/{id},path,yes,salon_id|id,,,no,200|401|403|404,covered,spec/requests/salon_customer_profiles_show_spec.rb,Show Customer Profile
Salon Setup,Customer Profile,PATCH,/salons/{salon_id}/salon_customer_profiles/{id},path,yes,salon_id|id,,,yes,200|401|403|404|422,covered,spec/requests/salon_customer_profiles_spec.rb,Edit Customer
Salon Setup,Customer Profile,GET,/salons/{salon_id}/salon_customer_profiles/{salon_customer_profile_id}/visits,path,yes,salon_id|salon_customer_profile_id,,page|per_page,no,200|401|403|404,covered,spec/requests/salon_customer_profile_visits_spec.rb,Customer Visit History
Salon Setup,Beauticians,GET,/salons/{salon_id}/staff,path,yes,salon_id,,q|role|status|sort|page|per_page,no,200|401|404,covered,spec/requests/staff_bulk_upload_spec.rb,List beauticians
Salon Setup,Beauticians,POST,/salons/{salon_id}/staff,path,yes,salon_id,,,yes,201|400|401|422,covered,spec/requests/staff_bulk_upload_spec.rb,Add a beautician
Salon Setup,Beauticians,POST,/salons/{salon_id}/staff/bulk_delete,path,yes,salon_id,,,yes,200|400|401,covered,spec/requests/staff_update_delete_spec.rb,Remove several beauticians
Salon Setup,Beauticians,POST,/salons/{salon_id}/staff/bulk_upload,path,yes,salon_id,,,yes,201|400|401|422,covered,spec/requests/staff_bulk_upload_spec.rb,Commit a bulk upload
Salon Setup,Beauticians,GET,/salons/{salon_id}/staff/bulk_upload/template,path,yes,salon_id,,,no,200|401,covered,spec/requests/staff_bulk_upload_spec.rb,Download the bulk-upload CSV template
Salon Setup,Beauticians,POST,/salons/{salon_id}/staff/bulk_upload/validate,path,yes,salon_id,,,yes,200|400|401|422,covered,spec/requests/staff_bulk_upload_spec.rb,Preview a bulk upload
Salon Setup,Beauticians,GET,/salons/{salon_id}/staff/export,path,yes,salon_id,,q|role|status|sort,no,200|401,covered,spec/requests/staff_bulk_upload_spec.rb,Export the filtered roster as CSV
Salon Setup,Beauticians — Lookups,GET,/salons/{salon_id}/staff/roles,path,yes,salon_id,,,no,200|401,covered,spec/requests/staff_summary_and_lookups_spec.rb,Role dropdown options
Salon Setup,Beauticians — Lookups,GET,/salons/{salon_id}/staff/summary,path,yes,salon_id,,,no,200|401,covered,spec/requests/staff_summary_and_lookups_spec.rb,Roster stat cards
Salon Setup,Beauticians,DELETE,/salons/{salon_id}/staff/{id},path,yes,salon_id|id,,,no,200|401|404,covered,spec/requests/staff_update_delete_spec.rb,Remove a beautician
Salon Setup,Beauticians,PATCH,/salons/{salon_id}/staff/{id},path,yes,salon_id|id,,,yes,200|422,covered,spec/requests/staff_update_delete_spec.rb,Update a beautician (alias of PUT)
Salon Setup,Beauticians,PUT,/salons/{salon_id}/staff/{id},path,yes,salon_id|id,,,yes,200|400|401|404|422,covered,spec/requests/staff_update_delete_spec.rb,Update a beautician
Salon Setup,Beauticians,GET,/salons/{salon_id}/staff/{id}/duplicate,path,yes,salon_id|id,,,no,200|401|404,covered,spec/requests/staff_update_delete_spec.rb,Prefill for duplicating a beautician
Salon Setup,Beauticians,PATCH,/salons/{salon_id}/staff/{id}/status,path,yes,salon_id|id,,,yes,200|400|401|404,covered,spec/requests/staff_update_delete_spec.rb,Change a beautician's status
